,Equal Weight  (Rolling 36m),Equal Weight  (Expanding),Min Volatility  (Rolling 36m),Min Volatility  (Expanding),Max Diversification  (Rolling 36m),Max Diversification  (Expanding)
2011-09-30,1.7770978530124129,1.7770978530124129,1.6718859667932997,1.6979288941728194,1.6922568693850255,1.688063112219218
2011-10-31,1.9128265585845834,1.9128265585845834,1.6808355134180453,1.7176004604614477,1.7182828016178275,1.728522805746219
2011-11-30,1.8892927596528806,1.8892927596528806,1.6897795955558177,1.7311683229629395,1.7244434842389795,1.7357064778540545
2011-12-31,1.900424267447155,1.900424267447155,1.6820789741461595,1.7322304341872516,1.7153805195854845,1.73395364427796
2012-01-31,1.9662737819355733,1.9662737819355733,1.6976766487598773,1.7509556786816798,1.7363854141923047,1.7596928722946787
2012-02-29,1.996132739650667,1.996132739650667,1.7134451693403667,1.7683477537929368,1.7535699614207558,1.7822574625752243
2012-03-31,2.008966297256794,2.008966297256794,1.6959645520896698,1.7458437297577623,1.7347429032734414,1.7622037511389175
2012-04-30,2.024239719339138,2.024239719339138,1.7087946455194227,1.760065822511764,1.7480250393040804,1.7740610362950482
2012-05-31,1.936602602286041,1.936602602286041,1.7085401808032754,1.760935978443189,1.7374685586066538,1.7546969309615088
2012-06-30,2.018793407689106,2.018793407689106,1.7495485628610463,1.8047225749985272,1.7829045197259448,1.8048521876517056
2012-07-31,2.071974814285711,2.071974814285711,1.768608819517909,1.832936925690596,1.8073988435372192,1.8396148007455544
2012-08-31,2.084415403319693,2.084415403319693,1.763191851104397,1.8240324996706212,1.802125040066527,1.836391292152019
2012-09-30,2.0957545736897583,2.0957545736897583,1.7716831712602035,1.8303879836855985,1.8109455203691551,1.8462403999137569
2012-10-31,2.0608062099201203,2.0608062099201203,1.7616234072907757,1.81671823271265,1.7983860299885226,1.8268515431547405
2012-11-30,2.067471120597492,2.067471120597492,1.778041833940654,1.8328633434219732,1.8140187354171575,1.8411420412365065
2012-12-31,2.0750417948001934,2.0750417948001934,1.7756050275963304,1.8232029557446034,1.8133735383460938,1.8313470316075644
2013-01-31,2.124973756952449,2.124973756952449,1.7784062566992243,1.8183405967085056,1.820279003363227,1.837093598554765
2013-02-28,2.114041458974236,2.114041458974236,1.7783810808546263,1.8075163735324755,1.819753452902445,1.8237346103893588
2013-03-31,2.1547259635028473,2.1547259635028473,1.801239995820541,1.823112309974415,1.8442331457265024,1.8428464901753459
2013-04-30,2.1967065938065273,2.1967065938065273,1.8365027384000512,1.8502847728612832,1.8837394101224751,1.86641660374187
2013-05-31,2.156891610786148,2.156891610786148,1.829663722334677,1.8324278011132005,1.8777099620736726,1.8483444668433888
2013-06-30,2.0965740543770357,2.0965740543770357,1.7808130979074746,1.7760104735352464,1.8282370188389896,1.7913005181555017
2013-07-31,2.123097568195376,2.123097568195376,1.7783221647629264,1.7606626279285365,1.831714854087324,1.7857792530871597
2013-08-31,2.082468384048997,2.082468384048997,1.7473922396128079,1.742877714710848,1.798282317019611,1.7701364312948151
2013-09-30,2.1006620936537006,2.1006620936537006,1.7591014454554585,1.7414547966387994,1.8083495650677597,1.769581927504959
2013-10-31,2.1505258136226337,2.1505258136226337,1.807520350221996,1.7754229947650386,1.854933495083066,1.8028404707812156
2013-11-30,2.1304712529348904,2.1304712529348904,1.8150093735588588,1.7727366811823992,1.8617817497889735,1.8011248277173522
2013-12-31,2.1450846296101247,2.1450846296101247,1.812903838468668,1.763607964000221,1.8613956345952907,1.797922378712342
2014-01-31,2.1533864073315483,2.1533864073315483,1.801305045206615,1.7629149067656307,1.8487426906864137,1.7949861081574958
2014-02-28,2.246416287484373,2.246416287484373,1.8448421956756824,1.8059815648793451,1.898305399104673,1.8471419729565717
2014-03-31,2.256833670334684,2.256833670334684,1.8510006099139644,1.810757741545474,1.9050259898674096,1.8529250828937978
2014-04-30,2.295289999711135,2.295289999711135,1.8587858960635557,1.8212355147370947,1.9153354624408059,1.8673291003976142
2014-05-31,2.3143592362220837,2.3143592362220837,1.891376251330027,1.8432729813927655,1.9446558354035621,1.8854778182027847
2014-06-30,2.3355633487146377,2.3355633487146377,1.9001883596781715,1.8479146792113086,1.954908623822518,1.8930769643762868
2014-07-31,2.3031394250596815,2.3031394250596815,1.9034687058162958,1.8455283103301137,1.9518259260281503,1.8820155703852302
2014-08-31,2.344242124304468,2.344242124304468,1.9416148287901607,1.8717724449483037,1.990238336980467,1.908434291013432
2014-09-30,2.2599595100932635,2.2599595100932635,1.921070268610813,1.845524450497143,1.9612168990426875,1.872991891257149
2014-10-31,2.33744901485619,2.33744901485619,1.9637693445911384,1.8815822128177861,2.0010712492435947,1.9081398752874323
2014-11-30,2.3408711906375514,2.3408711906375514,1.9723825974028018,1.8803596277146057,2.0032520453314957,1.9046961295266747
2014-12-31,2.3214306630631296,2.3214306630631296,1.9873980323030356,1.8835712580505422,1.9984377488463143,1.8963440747215765
2015-01-31,2.3420100987917665,2.3420100987917665,2.0212450861924274,1.9141204455065577,2.0168506965822424,1.9154923772959855
2015-02-28,2.3646259136765635,2.3646259136765635,2.038490333031081,1.9236995165427293,2.0420366862142414,1.9333260095911988
2015-03-31,2.332871452403378,2.332871452403378,2.022017790987916,1.904116498610859,2.0167460346393256,1.907403690868501
2015-04-30,2.343762270647455,2.343762270647455,2.046792017701198,1.9328565204533301,2.0491512984390874,1.9398618151957436
2015-05-31,2.321085685051759,2.321085685051759,2.0175398725643627,1.8993966257196637,2.0210551992180226,1.9087397196254732
2015-06-30,2.2853359663384185,2.2853359663384185,1.9898143958799623,1.878829426725596,1.9943640094338968,1.8900997618633721
2015-07-31,2.2726618118162634,2.2726618118162634,1.9935816645922415,1.8738401106607248,1.9776694698915205,1.8740330069158326
2015-08-31,2.2059122264322872,2.2059122264322872,1.9900739038321422,1.8768526157487204,1.9431035172072346,1.866170557572927
2015-09-30,2.190545405959918,2.190545405959918,1.977713834142836,1.8662984010447545,1.9271680171232495,1.8503554405894602
2015-10-31,2.2722335097243516,2.2722335097243516,2.0227336853782623,1.9042643443267684,1.9789835326777256,1.8926345489371716
2015-11-30,2.2206890059587043,2.2206890059587043,1.9858445159120501,1.8698529316997488,1.929081024099063,1.8528651286933753
2015-12-31,2.205818724056001,2.205818724056001,1.9811647935552883,1.8649613621625574,1.9164783785897836,1.8427870372018185
2016-01-31,2.1588265073170145,2.1588265073170145,1.98692344269194,1.8700097907416746,1.8969430926060795,1.8375794351292156
2016-02-29,2.1631521697179723,2.1631521697179723,2.02956235242172,1.9090862594182332,1.9125235456410172,1.8669791474470028
2016-03-31,2.2716713312913805,2.2716713312913805,2.0451065282672665,1.9223193307783741,1.9728573027349752,1.8951676849099433
2016-04-30,2.3134508341864737,2.3134508341864737,2.0748429926444976,1.9514502974698946,2.01419363903442,1.9319151975743227
2016-05-31,2.336573225914629,2.336573225914629,2.083004986712539,1.9582426882956867,2.026207256176979,1.9401166790336475
2016-06-30,2.412701457578159,2.412701457578159,2.116687262207175,1.9918508396697037,2.077862663493831,1.9778921244314764
2016-07-31,2.4375067928551393,2.4375067928551393,2.1473364965960497,2.0151287327477476,2.0978735644756177,1.9948531897574597
2016-08-31,2.4022602779104827,2.4022602779104827,2.13810365880457,2.0056146945998314,2.079589948661503,1.9826247801844172
2016-09-30,2.4069099530122267,2.4069099530122267,2.1314018842592053,2.003388121050556,2.0807276494892557,1.9851472395089076
2016-10-31,2.352563191932893,2.352563191932893,2.107229227688214,1.9811526560086905,2.049923739092187,1.9614928219270642
2016-11-30,2.3521308218417074,2.3521308218417074,2.063551800581653,1.944191788697246,2.0273461632359253,1.936669033952329
2016-12-31,2.384175927074494,2.384175927074494,2.026096011261716,1.9097229508137368,2.013492327948745,1.9146729480024605
2017-01-31,2.399554384954929,2.399554384954929,2.0441611020025032,1.9256904577169287,2.029118044761278,1.9302767868199362
2017-02-28,2.4464918468061003,2.4464918468061003,2.0643730125160658,1.9417299017307406,2.0539001399916206,1.9498329829629315
2017-03-31,2.414121934480553,2.414121934480553,2.0553961647705337,1.932345362862501,2.036782359152366,1.9368184733388294
2017-04-30,2.4223330992102046,2.4223330992102046,2.0835593611224197,1.958592456610247,2.0553198514435094,1.9575934567834297
2017-05-31,2.4195702602632267,2.4195702602632267,2.089666296166305,1.9630522513646451,2.056293917827822,1.9604750785025533
2017-06-30,2.4415377540760432,2.4415377540760432,2.109542917688462,1.9817684950875227,2.0743552017438365,1.9772451683743248
2017-07-31,2.4688420437966583,2.4688420437966583,2.10680340671509,1.9773269882260947,2.0817908436738723,1.9799489269742643
2017-08-31,2.4782950194016036,2.4782950194016036,2.126247694040612,1.9962440987483538,2.0970024938625995,1.996616988209663
2017-09-30,2.490175684769698,2.490175684769698,2.1391203323228147,2.006042711345029,2.1076559118082017,2.006801303453801
2017-10-31,2.5035250960576385,2.5035250960576385,2.134927104332513,1.998246273925592,2.109344043176782,2.0060555617116735
2017-11-30,2.537377780664689,2.537377780664689,2.1521212777286154,2.0107936800960142,2.1276075436318114,2.020353993825085
2017-12-31,2.560244276094421,2.560244276094421,2.159177106711928,2.0162195068221123,2.140181234737052,2.031063222673158
2018-01-31,2.5723015423352904,2.5723015423352904,2.1670550677733718,2.01591458509699,2.1433030441327134,2.0390913357147116
2018-02-28,2.473427618137386,2.473427618137386,2.1132844053038427,1.9672087880812146,2.0780651072057124,1.9873042468475846
2018-03-31,2.4779009899278166,2.4779009899278166,2.1076549670596556,1.9636996522416845,2.0797290833084676,1.9810951431342767
2018-04-30,2.501161527702242,2.501161527702242,2.1143677373158765,1.9694331358050403,2.09334414056516,1.990815775318705
2018-05-31,2.542301307760357,2.542301307760357,2.115519765794935,1.968489541722602,2.1044018790485155,1.9963385463642953
2018-06-30,2.5544165799415572,2.5544165799415572,2.1210657593807962,1.9759462122848168,2.106030621843968,1.9989304769603156
2018-07-31,2.570690210111514,2.570690210111514,2.1351023616347073,1.9888478479434502,2.1168712520313173,2.010842064955431
2018-08-31,2.5961408933839225,2.5961408933839225,2.143525074852301,1.9983729612483674,2.126243869846434,2.0205498952239602
2018-09-30,2.589612793305391,2.589612793305391,2.139948018221612,1.9928387192030304,2.1252435106190446,2.018491752966815
2018-10-31,2.5035653888465075,2.5035653888465075,2.0931031833719307,1.9519539584147758,2.070577434075113,1.970252874575048
2018-11-30,2.5432764499769136,2.5432764499769136,2.1047212845814576,1.9634960024927592,2.0853035721943396,1.9828459814624828
2018-12-31,2.4089089071290073,2.4089089071290073,2.0935804074605615,1.965014993643131,2.0461002114747777,1.9587010831655967
2019-01-31,2.5670015755885682,2.5670015755885682,2.151518367021838,2.017051031749101,2.1123502567755352,2.024281148181765
2019-02-28,2.600812108054514,2.600812108054514,2.1682883218423865,2.0355444360784665,2.132832465481645,2.04552012560093
2019-03-31,2.6450115537312517,2.6450115537312517,2.1894659386712667,2.058397108686119,2.1530471125380397,2.067972787538104
2019-04-30,2.6708331345131984,2.6708331345131984,2.203362647136624,2.0780397136063287,2.1708172016753715,2.0886432328054303
2019-05-31,2.6141973584370772,2.6141973584370772,2.202433582107013,2.073165723728364,2.1547403750531218,2.070270037799774
2019-06-30,2.7073510302639634,2.7073510302639634,2.2691061287806513,2.1479298339008337,2.2262331188970803,2.1466416325222646
2019-07-31,2.724203622349882,2.724203622349882,2.2676458866514277,2.1549062098563248,2.2255449675613863,2.1536455693228787
2019-08-31,2.748999129909852,2.748999129909852,2.3150940933134416,2.2108569237343483,2.263371939234154,2.195549780585326
2019-09-30,2.7788159067061953,2.7788159067061953,2.315219124405298,2.2106588941769005,2.2663836010094096,2.2006741984532634
2019-10-31,2.8149576034443577,2.8149576034443577,2.3309849033983716,2.2225674261662633,2.2842120814847577,2.2174084471890843
2019-11-30,2.807086765448373,2.807086765448373,2.2978411956406513,2.214881791456638,2.2553194079171237,2.210353129461739
2019-12-31,2.865359406473434,2.865359406473434,2.327072764757564,2.2297521742466255,2.289323053290701,2.2359090750907837
2020-01-31,2.8274714008070245,2.8274714008070245,2.3009059596510624,2.2309882324204766,2.258205487365071,2.2237786531546666
2020-02-29,2.7028216378202674,2.7028216378202674,2.3183736883695434,2.237136220927633,2.252844465337189,2.2056415222758363
2020-03-31,2.4413648548795157,2.4413648548795157,2.352334429896718,2.2700973872222954,2.250464383876922,2.1852520970831164
2020-04-30,2.5759270000695715,2.5759270000695715,2.380435073980154,2.3437661586156846,2.291166198037563,2.2619535200454104
2020-05-31,2.645462335044713,2.645462335044713,2.4076171615397772,2.3690459697010673,2.32222260834655,2.2969435938971077
2020-06-30,2.6846534252054792,2.6846534252054792,2.4127400901829352,2.371044238253487,2.3299161709861447,2.305864742819561
2020-07-31,2.793817728045352,2.793817728045352,2.4688973206996705,2.424484611312839,2.388848274536058,2.3691190356497427
